PWM,V_out,V_d,I_d_mA
608,1.2523,1.2539,0
609,1.2571,1.2555,0.0074
610,1.2571,1.2571,0
611,1.2604,1.2579,0.0111
612,1.2612,1.2612,0
613,1.2636,1.2636,0
614,1.2628,1.2652,0
615,1.2676,1.2668,0.0037
616,1.2684,1.2692,0
617,1.2725,1.2716,0.0037
618,1.2733,1.2725,0.0037
619,1.2749,1.2765,0
620,1.2781,1.2781,0
621,1.2797,1.2797,0
622,1.2813,1.2821,0
623,1.2829,1.2837,0
624,1.2853,1.2862,0
625,1.2886,1.2886,0
626,1.2934,1.2894,0.0184
627,1.2918,1.2934,0
628,1.2942,1.295,0
629,1.2966,1.2966,0
630,1.299,1.2982,0.0037
631,1.2999,1.3015,0
632,1.3023,1.3023,0
633,1.3031,1.3047,0
634,1.3055,1.3095,0
635,1.3079,1.3103,0
636,1.3111,1.3103,0.0037
637,1.3119,1.3127,0
638,1.3152,1.3136,0.0074
639,1.3168,1.316,0.0037
640,1.3192,1.3192,0
641,1.3208,1.3208,0
642,1.324,1.3248,0
643,1.3248,1.324,0.0037
644,1.3273,1.3264,0.0037
645,1.3289,1.3297,0
646,1.3321,1.3321,0
647,1.3329,1.3321,0.0037
648,1.3353,1.3345,0.0037
649,1.3369,1.3377,0
650,1.3393,1.3418,0
651,1.3418,1.3385,0.0148
652,1.3426,1.3442,0
653,1.3458,1.3458,0
654,1.349,1.3474,0.0074
655,1.3498,1.3506,0
656,1.3514,1.3522,0
657,1.3538,1.3547,0
658,1.3571,1.3563,0.0037
659,1.3563,1.3579,0
660,1.3603,1.3603,0
661,1.3627,1.3619,0.0037
662,1.3643,1.3635,0.0037
663,1.3667,1.3667,0
664,1.3675,1.3684,0
665,1.3708,1.3708,0
666,1.3724,1.374,0
667,1.3748,1.3748,0
668,1.3772,1.3764,0.0037
669,1.378,1.3788,0
670,1.3812,1.3812,0
671,1.3821,1.3845,0
672,1.3861,1.3853,0.0037
673,1.3869,1.3861,0.0037
674,1.3893,1.3893,0
675,1.3885,1.3909,0
676,1.3925,1.3925,0
677,1.3949,1.3949,0
678,1.3982,1.3982,0
679,1.399,1.4006,0
680,1.4006,1.4022,0
681,1.4014,1.4046,0
682,1.4046,1.4062,0
683,1.4078,1.4038,0.0184
684,1.4095,1.4103,0
685,1.4111,1.4111,0
686,1.4143,1.4143,0
687,1.4167,1.4151,0.0074
688,1.4175,1.4175,0
689,1.4215,1.4207,0.0037
690,1.4207,1.4223,0
691,1.424,1.424,0
692,1.4256,1.4264,0
693,1.4288,1.4272,0.0074
694,1.432,1.4296,0.0111
695,1.4328,1.432,0.0037
696,1.4344,1.4344,0
697,1.4352,1.4385,0
698,1.4385,1.4393,0
699,1.4409,1.4409,0
700,1.4409,1.4425,0
701,1.4441,1.4457,0
702,1.4457,1.4465,0
703,1.4497,1.4481,0.0074
704,1.4505,1.4514,0
705,1.4538,1.4538,0
706,1.4546,1.4562,0
707,1.4578,1.4554,0.0111
708,1.4594,1.4594,0
709,1.461,1.4618,0
710,1.4626,1.4634,0
711,1.4651,1.4651,0
712,1.4675,1.4691,0
713,1.4691,1.4715,0
714,1.4723,1.4723,0
715,1.4747,1.4739,0.0037
716,1.4763,1.4747,0.0074
717,1.4788,1.4788,0
718,1.4796,1.4804,0
719,1.482,1.4812,0.0037
720,1.4836,1.4844,0
721,1.4876,1.4852,0.0111
722,1.4884,1.4868,0.0074
723,1.49,1.4892,0.0037
724,1.4916,1.4925,0
725,1.4941,1.4933,0.0037
726,1.4957,1.4957,0
727,1.4989,1.4981,0.0037
728,1.5005,1.5013,0
729,1.5029,1.5029,0
730,1.5045,1.5053,0
731,1.5053,1.5053,0
732,1.5094,1.5086,0.0037
733,1.511,1.5118,0
734,1.5126,1.5134,0
735,1.515,1.515,0
736,1.5166,1.5174,0
737,1.5174,1.5199,0
738,1.5231,1.5223,0.0037
739,1.5239,1.5239,0
740,1.5255,1.5255,0
741,1.5271,1.5271,0
742,1.5295,1.5295,0
743,1.5319,1.5311,0.0037
744,1.5336,1.5336,0
745,1.536,1.5352,0.0037
746,1.5376,1.5376,0
747,1.5392,1.5408,0
748,1.5408,1.5416,0
749,1.544,1.544,0
750,1.5456,1.5456,0
751,1.5481,1.5481,0
752,1.5489,1.5497,0
753,1.5529,1.5513,0.0074
754,1.5545,1.5537,0.0037
755,1.5561,1.5545,0.0074
756,1.5577,1.5577,0
757,1.5585,1.5593,0
758,1.5626,1.5626,0
759,1.5642,1.5642,0
760,1.5658,1.5674,0
761,1.5682,1.5674,0.0037
762,1.5706,1.5714,0
763,1.573,1.569,0.0184
764,1.5738,1.5747,0
765,1.5771,1.5763,0.0037
766,1.5787,1.5795,0
767,1.5811,1.5795,0.0074
768,1.5827,1.5819,0.0037
769,1.5851,1.5843,0.0037
770,1.5867,1.5867,0
771,1.5892,1.5892,0
772,1.5916,1.59,0.0074
773,1.5932,1.5924,0.0037
774,1.5964,1.594,0.0111
775,1.5964,1.5972,0
776,1.5988,1.5996,0
777,1.6004,1.6004,0
778,1.6037,1.6029,0.0037
779,1.6045,1.6045,0
780,1.6077,1.6069,0.0037
781,1.6109,1.6093,0.0074
782,1.6117,1.6101,0.0074
783,1.6141,1.6125,0.0074
784,1.6158,1.6141,0.0074
785,1.6174,1.6174,0
786,1.6198,1.6182,0.0074
787,1.6206,1.6198,0.0037
788,1.623,1.6222,0.0037
789,1.6254,1.6238,0.0074
790,1.6278,1.6278,0
791,1.6303,1.6278,0.0111
792,1.6319,1.6327,0
793,1.6343,1.6311,0.0148
794,1.6359,1.6343,0.0074
795,1.6399,1.6367,0.0148
796,1.6399,1.6375,0.0111
797,1.6423,1.6399,0.0111
798,1.6448,1.6415,0.0148
799,1.6472,1.644,0.0148
800,1.6496,1.6456,0.0184
801,1.6512,1.6488,0.0111
802,1.6536,1.6504,0.0148
803,1.6544,1.6528,0.0074
